V,D,traffic_pattern,time[s],max_load
16,5,uniform,0.00469894,8.00109
16,5,shift_1,0.00239927,3.85419
16,5,shift_half,0.00207856,5.35712
25,6,uniform,0.00867643,7.31534
25,6,shift_1,0.00449902,3.1875
25,6,shift_half,0.00458989,4.06898
36,7,uniform,0.0109502,8.0647
36,7,shift_1,0.0106931,2.57812
36,7,shift_half,0.0100859,4.64062
49,8,uniform,0.0295642,7.69012
49,8,shift_1,0.0190008,2.025
49,8,shift_half,0.0182492,3.77976
64,9,uniform,0.0446222,8.66172
64,9,shift_1,0.0339557,1.95312
64,9,shift_half,0.0333238,1.80289
81,10,uniform,0.0731302,8.22526
81,10,shift_1,0.0621848,1.71875
81,10,shift_half,0.0630586,2.10938
100,11,uniform,0.127064,8.34194
100,11,shift_1,0.100703,1.66667
100,11,shift_half,0.0939377,2.46094
